ticker	ai_beta	ai_se	ai_t	ai_p	ai_ci_lo	ai_ci_hi	mkt_beta	sector_beta	mom_beta	alpha_ann	r2	n_obs	max_vif	vif_AIF
DELL	0.46113022	0.08855478	5.20728755	0.00000019	0.28756603	0.63469440	1.62707578	1.56216585	0.34497412	0.48563401	0.32178285	896	1.69698574	1.00000000
NVDA	0.45597998	0.07233433	6.30378386	0.00000000	0.31420730	0.59775266	1.95213567	1.59197058	0.57587213	0.45262845	0.66668787	896	1.69698574	1.00000000
MU	0.24388871	0.08525742	2.86061559	0.00422819	0.07678723	0.41099018	1.84520264	2.71108671	0.78410342	0.52235266	0.54554951	896	1.69698574	1.00000000
CAT	0.05287638	0.03856904	1.37095387	0.17038934	-0.02271756	0.12847032	1.20764155	1.35589690	0.50566863	0.14673177	0.60907363	896	1.69698574	1.01384489
PG	-0.00493139	0.01752204	-0.28143932	0.77837347	-0.03927395	0.02941117	0.29542904	1.08383096	-0.18919139	-0.02968879	0.56908302	896	1.69698574	1.01227863
WM	-0.07660047	0.02911229	-2.63120759	0.00850820	-0.13365951	-0.01954144	0.31138436	0.47759344	-0.11617400	0.06534519	0.14459319	896	1.69698574	1.01384489
INTC	-0.10093208	0.07098571	-1.42186485	0.15506549	-0.24006152	0.03819735	1.57528699	2.02263909	0.18441926	0.12537098	0.39726429	896	1.69698574	1.00000000
TEAM	-0.17590744	0.09548258	-1.84229883	0.06543145	-0.36304985	0.01123497	1.03884091	0.07445695	-1.24318882	-0.09117337	0.30272966	896	1.69698574	1.00000000
ADBE	-0.17871833	0.06038888	-2.95945736	0.00308181	-0.29707837	-0.06035829	1.07338254	0.18987644	-0.66084887	-0.21661625	0.29622217	896	1.69698574	1.00000000
