ticker,n,earliest,latest,days_spanned,reaches_2023
NVDA,990,2026-08-25 23:07:13+00:00,2026-09-14 21:24:18+00:00,19,False
MU,990,2026-08-04 14:37:05+00:00,2026-09-14 19:48:00+00:00,41,False
INTC,978,2026-07-26 14:08:13+00:00,2026-09-14 21:24:18+00:00,50,False
DELL,960,2026-06-12 21:52:22+00:00,2026-09-14 14:27:25+00:00,93,False
ADBE,982,2026-06-12 14:30:58+00:00,2026-09-14 20:59:36+00:00,94,False
CAT,964,2026-05-28 02:40:20+00:00,2026-09-14 19:44:41+00:00,109,False
PG,964,2026-05-20 09:41:14+00:00,2026-09-14 21:09:22+00:00,117,False
WM,961,2026-03-26 11:32:22+00:00,2026-09-14 16:35:49+00:00,172,False
TEAM,90,2023-02-03 16:31:00+00:00,2026-09-03 11:38:15+00:00,1307,True
